WORD,DEFINITION
D.,"Diplococcus; 쌍구균(속)\n  D. gonorrhoeae; 임질쌍구균\n  D. intracellularis; 세포내(뇌막염)쌍구균\n  D. pneumoniae; 폐렴쌍구균, 페렴구균"
DAF,Decay Accelerating Factor
DAG,Di-Acyl-Gylcerol
DAo,Descending Aorta
DAP,Dialysis Associated Pericarditis
DAP test,Draw-A-Person test; 인물화 검사
DASD,Direct Access Storage Device\n  = RAM
DBH,Dopamine-Beta(β)-Hydroxylase
DBP,Diastolic Blood Pressure
DC,1) Direct Current\n  2) Diffusion Capacity
D & C,Dilatation(Dilation) & Curretage; 소파술
D/C,1) Dis-Charge\n  2) Dilatation(Dilation) & Curretage\n  3) Dis-Continue; 중지
D/C/B,Dilatation(Dilation) & Curretage & Biopsy
DCH,Daily Chronic Headache
DCS,De-Compression Sickness
DDAVP,1-Desamino-8-D-Arginine Vasopressin\n  = Desmopression
DDC,L-Dopa De-Carboxylase
ddC,di-deoxy-Cytidine
DDD,Degenerative Disc Disease
ddI,di-deoxy-Inosine
DDS,"4,4\u0027-Diamino-Diphenyl-Sulfone\n  = Dapsone"
DDST,Denver Developmental Screening Test; Denver 발달 평가 검사(발육 선별 검사)
DDx,Differential Diagnosis
DEA,Dual Energy Absorptiometry
DEJ,Dermal-Epidermal Junction
δ-ALA,δ-Amino-Levulinic Acid
δ-ALAD,δ-Amino-Levulinic Acid Dehydratase
Derm.,Dermatology
DES,Di-Ethyl-Stilbestrol
DEV,Duck Embryo Vaccine
DFA,Direct Fluorescent Antibody
DG,Diacyl-Glycerol
DH,1) Diffuse Histiocytic\n  2) DeHydrogenase
DHE,Di-Hydro-Ergotamine
DHEA,Di-Hydro-Epi-Androsterone
DHEAS,Di-Hydro-Epi-Androsterone Sulfate
DHF,Dengue Hemorrhagic Fever
DHFR,DiHydroFolate Reductase
DHT,Di-Hydro-Testosterone
DI,1) Diabetes Insipidus\n  2) Discomfort Index; 불쾌 지수\n    = 0.72(ta + tw) + 40.6(섭씨로 표시시)\n    = 0.4(ta + tw) + 15(화씨로 표시시)\n    --ta; 건구 온도\n    --tw; 습구 온도\n    - 70; 다소 불쾌감\n    - 75; 50 % 이상의 사람에서 불쾌감\n    - 79; 100 % 에서 불쾌감\n    - 80; 불쾌감이 아주 심하다.
DIC,Disseminated(=Diffuse) Intravascular Coagulation syndrome; 파종성혈관내응고(播種性血管內凝固) 증후군\n  = Consumption Coagulopathy
Diff.,Differential count; 백혈구 감별 계산\n  = diff. count
diff. count,differential count; 백혈구 감별 계산\n  = Diff.
dil.,dilue; dilute; 희석하다.
DILD,Diffuse Interstitial Lung Disease; 미만성 간질성 폐질환
DILS,Diffuse Infiltrative Lymphocytosis Syndrome
DIMS,Disorders of Initiating & Maintaining Sleep; 입면장애 및 수면 유지 장애; 불면증
DIP,1) Drip Infusion Pyelography\n  2) Desquamative Interstitial Pneumonia\n  3) Distal Inter-Phalangeal
DIP joint,Distal Inter-Phalangeal joint
DIS,Diagnostic Interview Schedule; 미국 NIMH 고안
DISC,; Supratentorial Lesion(brain lesion)시\n    --Destructive lesion --> Ipsilateral\n    --Seizure lesion --> Contralateral\n  ; Infratentorial Lesion(Pons Lesion)시는 반대로
DISH,Diffuse Idiopathic Skeletal Hyperostosis
DIT,Diet Induced Thermogenesis\n  = Thermic Effect of Food\n  = Specific Dynamic Action
DJD,Degenerative Joint Disease; 퇴행성 관절질환\n  = Degenerative Arthritis; 퇴행성 관절염\n  = Osteoarthritis(OA); 골관절염\n  = Osteoarthrosis; 골관절증
DKA,Diabetic Keto-Acidosis
DL,Diffuse Lymphoblastic
DLE,Discoid Lupus Erythematosus
DM,1) Diabetes Mellitus\n  2) Dermato-Myositis
DMARDs,Disease Modifying Anti-Rheumatic Drugs
DMD,Duchenne type Muscular Dystrophy; 악성형 Duchenne형 근이영양증
DMH,Daily Mixed Headache
DMLH,Diffuse Mixed Lymphocytic Histiocytic
DMPEA,"3,4-Di-Methoxy-Phenyl-Ethyl-Amine"
DMT,Di-Methyl-Triptamine
DNA,Deoxyribo-Nucleic Acid
DNCB,Di-Nitro-Chloro-Benzene
DNS,Domain Name System
DO,"Dissolved Oxygen; 용존산소\n  ; 수중 DO는 오염 판정의 기본이 되는 지표\n  1. 온도 - - DO -\n  2. BOD, COD - - DO -\n  오염된 수중에서는 소비되는 O2량이 많으므로 물이 깨끗할수록 그 온도에서의 포화량에 가깝게 함유된다."
DOA,Death(Dead) On Arrival; 도착시 사망함; 응급실에 도착했을 당시에 이미 사망한 상태에 있는 경우
DOC,1) Drug Of Choice\n  2) Diagnosis Of Choice\n  3) De-Oxy-Cortisterone
DOCA,De-Oxy-Corticosterone Acetate
DOE,Dyspnea On Exercise
DOES,Disorders of Excessive Somnolence; 과다 수면 장애
DOLV,Double Outlet Left Ventricle
DOM,Dimeth-Oxy-Methyl amphetamine
DOPA,"3,4-Dihydr-Oxy-Phenyl-Alanine"
DORV,Double Outlet Right Ventricle
Doz,"Dozens; 1다스, 1타(打), 12개"
DP,Driving Pressure
DPA,Dual Photon Absorptiometry
DPC,Distal Palmar Crease
DPCC,Di-Palmitoyl Phosphatidyl Choline
DPDL,Diffuse Poorly Differentiated Lymphocytic
DPG,"Di-Phospho-Glycerate\n   = 2,3-DPG"
DPL,Diagnostic Peritoneal Lavage
DPN,DiPhosphopyridine Nucleotide
DPT,"Diphtheria-Pertussis-Tetanus; 디프테리아, 백일해, 파상풍"
DPX,Dual Photon X-Ray
Dr.,Doctor; 의사
DRG,Dorsal Root Ganglia
DS,1) Dead Space\n  2) Dehydroisoandrosterone Sulfate
DSA,Digital Subtraction Angiography\n     = DVI
DSIP,Delta Sleep Inducing Peptide
DSM,Diagnostic & Statistical Manual
DSS,1) Double Simultaneous Stimulation\n  2) Dengue Shock Syndrome
DST,1) Donor Specific Transfusion\n  2) Dexamethasone Suppression Test
DT,"1) Delirium Tremens\n  2) Diphtheria, Tetanus; 디프테리아, 파상풍 혼합 백신"
d/t,associated with
D3,Disialoganglioside
DTIC,Dimethyl Triazeno Imidazole Carboxamide\n  ; Alkylating Agent
DTP,"Diphtheria, Tetanus, Pertussis 디프테리아, 파상풍, 백일해 혼합 백신"
DTPA,Diethylene Triamine Penta-Acetic Acid
DUB,Dysfunctional Uterine Bleeding
DUL,Diffuse Undifferentiated Lymphoblastic
DVI,Digital Vascular Imaging\n     = DSA
DVT,Deep Vein Thrombosis
"DW, D.W.",Distilled Water; 증류수
D/W,Dextrose in Water
DWDL,Diffuse Well Differentiated Lymphocytic
Dx,Diagnosis; 진단
Dz,"Dozens; 1다스, 1타(打), 12개"
E,1) Expiration\n  2) Electrolyte
E.,Escherichia\n  E. Coli; Escherichia Coli; 대장균
E1,Estrone; 폐경후 주된 Estrogen
E2,Estradiole; 폐경전 주된 Estrogen
E3,Estriol; 임신시 주된 Estrogen\n  가임기 여성; E3/(E1 + E2) = 1\n  임신시 여성; E3/(E1 + E2) = 10
EA,1) Esophageal Atresia\n  Types\n  1. Esophageal Atresia with Distal Tracheoesophaseal Fistula; C; 85 %; mc\n  2. Esophageal Atresia without Tracheoesophaseal Fistula; A; 8 %\n  3. Isolated Tracheoesophaseal Fistula(H-Type); E; 4 %\n  4. Esophageal Atresia with Proximal Tracheoesophaseal Fistula; B; 1 %\n  5. Esophageal Atresia with Proximal & Distal Tracheoesophaseal Fistula; D; 2 %\n  2) Early Antigen
EACA,Epsillon(ε)-AminoCaproic Acid
EAE,Early Asthmatic Effect
EAEC,Entero-Adherent Escherichia Coli
EBNA,Epstain-Barr Nuclear Antigen
EBV,Epstein-Barr Virus
EC,Extra-Cranial
ECA,External Carotid Artery
ECC,Endo-Cervical Curettage
ECCE,Extra-Capsular Cataract Extraction
ECD,Endocardial Cushion Defect
ECF,1) Eosinophilic Chemotatic Factors\n  2) Extra-Cellular Fluid; 세포 외액
EC-IC bypass,Extra-Cranial Intra-Cranial bypass
ECLE,Extra-Capsular Lens Extraction
ECMO,Extra-Corporeal Membrane Oxygenation
ECOG,Eastern Cooperative Oncology Group
ECT(?),Electro-Convulsive Therapy; 전기 경련 요법\n  = EST
ED & C,Electro-Desiccation & Curettage
EDC,Estimated Day of Confinement; 출산(분만) 예정일
EDH,Epidural Hematoma; 경뇌막상혈종
EDRF,Endothelium Derived Relaxing Factor
EDS,Ehlers-Danlos Syndrome
EDTA,Ethylene Diamino(Diamine)-Tetraacetic Acid
EDV,End Diastolic Volume
EED,Erythema Elevatum Diutinum
EEG,"Electro-Encephalo-Graphy(-Gram); 뇌전도, 뇌파 검사"
EF,Edema Factor
EF study,Ejection-Fraction study
E. Fetalis,Erythroblastosis Fetalis
EGC,Early Gastric Cancer
EGD,Esophago-Gastro-Duodenoscopy
EGJ,Esophago-Gastric Junction
EHBF,Estimated Hepatic Blood Flow; 추정간혈류량(推定肝血流量)
EHEC,Entero-Hemorrhagic Escherichia Coli
EHDP,"Ethane-1-Hydroxyl-1,1-Di-Phosphonate"
EHL,Electro-Hydrauric Lithotripsy
EIA,1) Exercise Induced Asthma; 운동 유발성 천식\n  = EIB\n  2) Enzyme Immuno-Assay
EIB,Exercise Induced Bronchoconstriction; 운동 유발성 기관지 수축\n   = EIA
EIEC,Entero-Invasive Escherichia Coli
EKC,Epidemic Kerato-Conjunctivitis
EKG,Electro-cardio-Graphy(-Gram); 심전도\n  = ECG
ELISA,Enzyme-Linked Immuno-Sorbent Assay; 효소 면역법
ELT,Euglobulin Lysis Time
EM,1) Erythro-Mycin\n  2) Electron Microscopy
Em,1) Erythro-mycin\n  2) Emmetropia(Normal Vision)
EMA-CO,"Etoposide, MTX, Actinomycin-D, Vincristine, Cyclophosphomide, Folic Acid"
EMB,Ethambutol
EMB Agar,Eosin Methylene Blue Agar
EMD,Electro-Mechanical Dissociation
EMG,Electro-Myo-Graphy; 근전도
EMID,Extra-Medullary Intra-Dural
EM Pathway,Embden Meyerhof Pathway
EN,Erythema Nodosum
ENKAF,Epidermal-derived NK cell-Activating Factor
ENG,Electro-Nystagmo-Graphy
ENL,Erythema Nodosum Leprosum
ENT,"Ear, Nose & Throat; 이비인후과"
EOAE,Evoked Oto-Acoustic Emission test
EOG,Electro-Oculo-Gram
EPB,Extensor Pollisis Brevis
EPBF,Effective Pulmonary Blood Flow
EPEC,Entero-Pathogenic Escherichia Coli
EPF,Esophago-Pleural Fistula
EPP,Erythropoietic Proto-Porphyria
EPS,1) Extra-Pyramidal Syndrome\n  2) Electro-Physiological Study
EPSP,Excitatory Post-Synaptic Potential; 흥분성 시냅스후 전위
ER,1) Emergency Room; 응급실\n  2) Estrogen Receptor
ERBD,Endoscopic Retrograde Bile(Biliary) Drainage
ERBSE,Endoscopic Retrograde Balloon Stone Extraction
ERCP,Endoscopic Retrograde Cholangio-Pancreatography(-gram)
ERG,Electro-Retino-Gram
ERPF,Effective Renal Plasma Flow; 유효신혈류량
ERV,Expiratory Reserve Volume
ESP,Extra-Sensory Perception
ESR,Erythrocyte Sedimentation Rate; 0 - 30 mm/Hr(영아)
ESRD,End Stage Renal Disease
EST(?),Electric(Electro-) Shock Theraphy; 전기 충격치료\n  = ECT
ESWL,"Extracorporeal Shock-Wave Lithotripsy\n  - Ix for Gall Stone\n    1. < 4개, Φ < 3 cm\n    2. No Pigment on Calcified Stones\n    3. OCG상 GB Visualization\n    4. Stone이 US상 Early Observation\n  - CIx for Gall Stone\n    1. recent Acute Cholecystitis\n    2. Cholangitis"
ET,1) Essential Thrombocytosis\n  2) Embryo Transfer
ETAF,Epidermal cell derived Thymocyte Activating Factor
ETEC,Entero-Toxigenic Escherichia Coli
ETF,Eustachian Tube Function
EU,Endoscopic Ultrasonography
EUA,Examination Under Anesthesia
E-W nucleus,Edinger-Westphal nucleus
F,Fahrenheit; 화씨
F wave,Flutter wave
FA,1) Fatty Acid\n  2) Fluorescent Antibodies; 형광 항체
FAB classification,"French, American, British classification"
FAC,Familial Amyloid Cardiomyopathy
FAD,Flavin Adenine Dinucleotide
FAM,"5-FU, Adriamycin, Mitomycin-C"
FAP,Familial Amyloid Polyneuropathy
FB,Foreign Body
FBG,Fasting Blood Glucose
FBS,Fasting Blood Sugar; 공복시 혈당
FBSS,Failed Back Surgery Syndrome
FC,1) FluCytosine\n  2) Finger Count
FCPD,Fibro-Calculous Pancreatic Disease
FDA,Food & Drug Administration
FDCs,Follicular Dendritic Cells
FDI,F?d?ration Dentaire Internationale\n  = International Dental Association
FDP(s),1) Fibrinolytic split Products(= FSP)\n  2) Fibrinogen Degradation Products
FEF,Forced Expiratory Flow
FEF25-75%,Forced Expiratory Flow from 25 to 75 % of the vital capacity
FEP,Free Erythrocyte (Proto)Porphyrins
FEV,Forced Expiratory Volume
FEV1,Forced Expiratory Volume in 1 sec
FFA,Free Fatty Acid; 유리 지방산
FFP,Fresh Frozen Plasma
FFS,Flexible Fiberoptic Sigmoidoscopy
fg,fore ground
FGR,Fetal Growth Retardation
FHF,Fulminant Hepatic Failure
FH,Familial Hypercholesterolemia; 가족성 고콜레스테롤혈증
FHD,Fetal Heart Tone
FHH,Familial Hypocalciuric Hypercalcemia\n  = Familial Benign Hypercalcemia
FHM,Fetal Heart Movement
FHR,Fetal Heart Rate
FHT,Fetal Heart Tone(s)
"FHX, FHx",Family History
FiO2,Fraction of Inspired Oxygen; 흡입 산소 농도
FISH,Fluorescence In Situ Hybridization
FIV,Forced Inspired Volume
5α-DHT,5α-Di-Hydro-Testosterone
5-HIAA,5-Hydroxy-Indole-Acetic Acid
5-HT,5-Hydroxy-Tryptamine\n  = Serotonin
5-HTP,5-Hydroxytryptophan
5 YSR,5 Year Survival Rate
FL,1) Fascia Lata(FL); 대퇴근막(大腿筋膜)\n  2) Femur Length
FLASH,Fast Low Angle SHot
"Flu, Flue",inFluenzae; 감기
FMD,Fibro-Muscular Dysplasia
FMN,Flavin Mononucleotide
FMTC,Familial Medullary Thyroid Carcinoma
FNA,Fine Needle Aspiration
FNAB,Fine Needle Aspiration Biopsy
FO,Fossa(Foramen) Ovale
FPC,Familial ; 가족성 용종성 증후군
FPG,Fasting Plasma Glucose
FPL,Flexor Pollicis Longus
FQDN,Fully Qualified Domain Name
FRC,Functional Residual Capacity
FRP,Follicle Regulatory Protein
FRT,Fixation Reflex Test; 안과) 시선 고정 반사 테스트
FSA,Fetal Sulfo-glycoprotein Ag
FSF,Fibrin Stabilizing Factor(Factor XIII)
FSGN,Focal Sclerotic(Segmental) Glomerulo-Nephritis
FSGS,Focal Segmental Glomerulo-Sclerosis
FSH,"1) Follicle(Follicular)-Stimulating Hormone [HP 1884, 1891, 1902-3, 2010, 2017-21, 2031]\n  2) Facio-Scapular Humeral"
FSH-RH,Follicle Stimulating Hormone Releasing Hormone
FSP,Fibrin Split Product\n  = FDPs
ft.,"foot, feet"
FTA-ABS test,Fluorescent Treponemal Antibody ABSorption test
FT3,Free T3
FT4,Free T4
FT3I,Free T3 Index
FT4I,Free T4 Index\n  = T3RU x T4
FTND,Full-Term Normal Delivery; 만기정상분만(滿期正常分娩)
FTSG,Full Thickness Skin Graft
F/U,Follow Up
FUdR,Fluorodeoxyuridine
FUO,Fever of Unknown(= Undetermined) Origin; (원인)불명열
FVC,Forced Vital Capacity
F wave,Flutter wave; 조동파
Fx,Fracture; 골절(骨折)
g,gram\n  = gm
G.,Giardia\n  G. Lamblia; 람불편모충
G-sac,Gestational Sac
GA,1) Gestational Age; 재태주령\n  2) Gamblers Anonymous
167Ga,radioactive Gallium(used in whole-body & brain scans)
GABA,Gamma-Amino-Butyric Acid
GAF scale,Global Assessment of Functioning scale
GAG,Glycos-Amino-Glycan
GAP,Group for Advancement of Psychiatry
GAP syndrome,"Galactorrhea, Amenorrhea, Prolactinoma Syndrome"
GB,Gall Bladder; 담낭
GBM,Glomerular Basement Membrane
GBP scan,Gated Blood Pool (cardiac) scan\n  = GBPS\n  1. LV 기능 측정\n  2. Wall Motion분석\n  3. CO & EF 측정
GBPS,Gated Blood Pool cardiac Scan\n  = GBP scan
GBS,1) Guillain-Barr Syndrome\n    = PIP; Post-Infectious Polyneuropathy\n  2) Group B Streptococcus
GC,1) Guanylate Cyclase\n  2) Gonococcus; 임균
Gc globulin,Group-specific complement globulin
GCS,Glasgow Coma Scale
GER,Gastro-Esophageal Reflux
GERD,Gastro-Esophageal Reflux Disease
GFR,Glomerular Filtration Rate; 사구체 여과율\n  25 % 감소시 Clinical Manifestation\n  50 % 감소시 Lab 상 Azotemia
G-G diet,Giordano-Giovannetti diet\n  의의; CRF에 쓰인다.
GGT,1) Gamma(γ)-Glutamyl Transpeptidase\n  2) Gamma(γ)-Glutamyl Transferase
GH,Growth Hormone\n  = Somatotropin
GHB,Gamma-Hydroxy Butyrate
GHQ,General Health Questionaire
GHRH,Growth Hormone Releasing Hormone
GH-V,variant form of Growth Hormone
GI,1) Gastro-Intestinal; 위장의\n  2) Globin Insulin\n  3) Granuloma Inguinale
GIDAANT,"Gender Identity Disorder of Adolescence or Adulthood, Non-transsexual Type"
GIF,Gastro-Intestinal Fiberoscopy
GIFT,Gamate Intra-Fallopian Transfer; 생식세포 난관내 이식술
GIH,Growth hormone release Inhibiting Hormone\n  = Somatostatin
GIP,1) Giant cell Interstitial Pneumonia\n  2) Gastric Inhibitory (Poly)Peptide
GLOBE,Global Learning and Observations to Benefit the Environment
gm,gram\n  = g
GM,Glioblastoma Multiforme; 다형성 교아세포종
GM-CSF,Granulocyte-Macrophage Colony Stimulating Factor
GMP,Guanosine Mono-Phosphate
GN,Glomerulo-Nephritis
GNB,Gram Negative(-) Bacilli
GNBP,Gram Negative(-) Bacillary Pneumonias
GOT,Glutamic Oxaloacetic Transaminase
GP,1) General Practitioner; 전과의(全科醫)\n  2) General Paresis\n  3) Geometric Progression
GPIb,Glyco-Protein Ib
gr.,grain; 1 gr. = 0.0648 gm
GRASS,Gradient Recalled Acquisition at Steady State
grav.,gravida; pregnancy; 임신
GRH,Growth hormone Releasing Hormone
GRP,Gastrin-Releasing Peptide
GS,1) Gall Stone\n  2) General Surgery
"G6PD, G6PD, G-6-PD",Glucose 6 Phosphate Dehydrogenase
GSR,Galvanic Skin Response
GTD,Gestational Trophoblastic Disease
GTN,"- Stages of GTN(FIGO, WHO)\n    1. Stage O; Molar Pregnancy(H-Mole)\n    2. Stage I; confined to Uterine Corpus\n    3. Stage II; Metastasis to Pelvis & Vagina\n    4. Stage III; Metastasis to Lung\n    5. Stage IV; Distant Metastasis(Brain, Liver, Kidney, Spleen or GI tract)"
GTP,Guanosine Tri-Phosphate
GTT,1) Gestational Trophoblastic Tumor\n  2) Glucose Tolerance Test; 당부하검사
gtt,guttae; drops; 방울 방울
GU,Genito-Urinary; 비뇨생식기의
GUT,Genito-Urinary Tract
GVHD,Graft-Versus-Host Disease; 식대주 질환
Gyn.,Gynecology; 부인과
h.,hour; 시간
HA,1) Hemolytic Anemia\n  2) Head-Ache
HACE,High Altitude Cerebral Edema
HAPE,High Altitude Pulmonary Edema
HARH,High Altitude Retinal Hemorrhage
HAV,Hepatitis A Virus
Hb,Hemoglobin; 혈색소; 13 - 15 mg% \n  1 gm 파괴시 Indirect Bilirubin 40 mg 증가\n  = Hgb
HBD,α-Hydroxy-Butyrate Dehydrogenase
HBI,Hemi-Body Irradiation
HBIG,Hepatitis B Immuno-Globulin; B형 간염 면역글로불린
HBO,HyperBaremic Oxygen
HBPV,Haemophilus influenza type B Polysaccharide(PRP) Vaccine; B형 헤모필루스 인플루엔자 피막 다당질 백신
HBeAg,Hepatitis Be Antigen
HBsAg,Hepatitis B surface Antigen
HBUS,Hepato-Biliary Ultra-Sound
HBV,Hepatitis B Virus
HC,1) Head Circumferrence; 두위\n  2) 탄화수소\n  3) Head Compression
HCC,Hepato-Cellular Cacinoma
HCCa,Hepato-Cellular Cacinoma
HCM,Hypertrophic Cardio-Myopathy\n  = HCMP
HCMP,Hypertrophic Cardio-Myo-Pathy\n  = HCM
HCN,Hydrogen Cyanide; 청산
HCO,Health Care Organization; 의료조직\n  = MCO; Medical Care Organization
HCP,Hereditary Copro-Porphyria; 유전성 CoproPorphyria
"HCT, Hct",Hematocrit; 혈구용적; 35 - 45 %
HCV,Hepatitis C Virus
HCVD,Hypertensive Cardio-Vascular Disease; 고혈압 심장성 혈관 질환
HD,1) Hodgkin\u0027s Disease\n  2) Hemo-Dialysis\n  3) High Density\n  4) Hearing Disturbance
HDCV,Human Diploid Cell Vaccine; 인간 이배체 세포 백신
HDL,High Density Lipoprotein; 고밀도 지질 단백질
HDN,Hemolytic Disease of Newborn
HDV,Hepatitis D(elta) Virus\n  = HBV associated Delta Agent
HE stain,Hematoxylin-Eosin stain
HEMPAS Test,Hereditary Erythrocytic Multinuclearity with Positive Acidified Serum Test
HEV,Hepatitis E Virus
Hgb,Hemoglobin\n  = Hb
HGPRT,Hypoxanthine-Guanine Phospho-Ribosyl Transferase
HHH Syndrome,Hyperamnonemia-Hyperornithinemia-Homocitrullinemia Syndrome
HI antibody,Hemagglutination Inhibiting antibody; 혈구 응집 억제 항체
HI Method,Hemagglutination Inhibiting Method; 혈구 응집 억제법
Hib,Haemophilus Influenzae B type; B 형 인플루엔자균
HIV,Human Immunodeficiency Virus
HL,Half Life
HLA,Human Leukocyte Antigen; 인백혈구 항원\n  ? HLA B27 Ag\n    (+)로 나오는 경우\n    1. Ankylosing Spondylitis; 90 % (+)
HLDA,HoLD Acknowledge
HMD,Hyaline Membrane Disease; 유리질막증
"HMG, hMG",Human Menopausal Gonadotropin
HMO,Health Maintenance Organization; 건강 유지 조직
HMP Shunt,Hexose Mono-Phosphate Shunt
HMSN,Hereditary Motor-Sensory Neuropathy
HMW,High Molecular Weight
HMWM,High Molecular Weight Multimers
H & N,Head & Neck
Hn,Herniation
HNP,Herniation(Herniated) of Nucleus Pulposus; 척추간판 탈출증
HOA,Hypertrophic Osteoarthropathy
HOF,Height Of Fundus; Distance to Uterine Fundus from Symphisis
HP,Hypersensitivity Pneumonitis\n  = Extrinsic Allergic Alveolitis
HPA axis,Hypothalamic-Pituitary-Adrenal axis
"HPF, hpf",High Power Field; 고배율 시야
hPL,human Placental Lactogen\n  = Chorionic Somatomammotropin
HPP,Hereditary Pyro-Poikilocytosis
HPRT,Hypoxanthine Phospho-Ribosyl-Transferase
HPV,Human Papilloma Virus
HPZ,High Pressure Zone; 고압지대
HR,Heart Rate
HRCT,High Resolution Computed Tomography\n  = TSCT
HRIG,Human Rabies Immuno-Globulin; 인체 광경병 면역 글로불린
HS,Hereditary Spherocytosis
h.s.,hora somni; at bedtime; 취침시(간)
H2S,Hydrogen Sulfate; 황화수소
HSA,Human Serum Albumin
3β-HSD,3β-Hydroxy-Steroid Dehydrogenase
HSG,Hystero-Salpingo-Gram
HSM Syndrome,juvenile-familial Endocrinopathy Hypoparathyroidism Addison\u0027s Disease Menillansis
HSP,Henoch Schonlein Purpura
HSV,Herpes Simplex Virus
HT,Head Trauma
ht.,"height; 신장, 키"
HTN,Hypertension
hTN,hypotension
HTST,"High Temperature Short Time Pasteurization\n  ; 71.5 ℃, 15 sec간 가열후 10 ℃ 이하로 급냉각"
HUS,Hemolytic Uremic Syndrome
HVA,Homo-Vanillic Acid
HVL,Half-Value Layer
h.w.b.,hot water bag; 더운물주머니
"HX, Hx",History
Hx,History Taking
hypo.,hypodermic(ally) injection; 피하주사
I,Inspiration
131I,"radioactive Iodine(used in Thyroid uptake, Liver & Kidney Scans & Treatment of malignant & nonmalignant conditions of the thyroid)"
123I-MIBG,123I-Meta-Iodo-Benzyl-Guanidine
131I-MIBG,131I-Meta-Iodo-Benzyl-Guanidine
IAPP,Insulinoma Amyloid Poly-Peptide
